promedio_global,materias_reprobadas,edad,apoyo_familiar,minutos_traslado,horas_estudio,horas_trabajo,horas_sueno,frecuencia_IA,escuela,genero,dependientes_economicos,personas_a_cargo,apoyos_economicos,foraneo,validacion_encuesta,enfermedad_cronica,satisfaccion_carrera,ejercer_carrera
8.4,0.0,20,5,15.0,3.0,0.0,6.0,4,1,1,0,1,1,1,2,0,2,2
6.0,1.0,19,5,60.0,1.0,0.0,7.0,4,1,1,1,1,0,0,2,0,2,2
7.7,0.0,19,5,60.0,1.0,5.0,5.0,4,1,1,0,1,0,0,2,0,2,2
6.4,1.0,19,5,60.0,3.0,1.0,5.0,1,1,1,0,1,1,0,2,0,0,2
6.5,4.0,21,5,40.0,4.0,0.0,6.0,3,1,1,0,1,0,0,2,0,2,2
7.0,1.0,19,5,90.0,1.0,7.0,5.0,5,1,1,0,1,0,0,2,0,0,1
7.2,1.0,19,4,150.0,1.0,7.0,3.0,5,1,1,0,1,0,0,2,0,2,1
6.2,2.0,19,5,120.0,3.0,0.0,7.0,3,1,0,1,1,1,0,2,0,2,2
6.7,1.0,21,5,50.0,1.0,0.0,6.0,5,1,1,1,2,1,0,2,0,2,2
6.4,1.0,20,5,75.0,4.0,0.0,5.0,3,1,0,1,1,0,0,2,0,2,2
6.0,2.0,20,5,100.0,2.0,5.0,4.0,3,1,1,0,1,0,1,2,0,2,2
6.3,2.0,22,5,90.0,2.0,11.0,7.0,4,1,1,0,1,1,0,2,0,2,2
5.8,1.0,19,4,90.0,3.0,0.0,6.0,3,1,1,1,1,1,0,2,0,2,2
6.6,1.0,19,4,40.0,2.0,0.0,7.0,3,1,1,0,1,1,0,2,0,2,2
7.0,2.0,20,3,60.0,2.0,0.0,5.0,5,1,1,0,2,1,0,2,0,0,2
6.0,1.0,19,5,90.0,4.0,0.0,6.0,3,1,1,1,1,1,0,2,0,2,1
8.2,0.0,20,3,60.0,1.0,0.0,8.0,4,1,1,0,1,1,0,2,0,0,1
7.2,4.0,22,4,90.0,2.0,0.0,7.0,4,1,1,1,2,1,0,2,0,2,2
8.7,2.0,22,5,30.0,1.0,0.0,7.0,4,0,0,0,1,1,1,2,0,0,2
8.5,1.0,22,5,120.0,3.0,0.0,6.0,3,0,0,0,1,1,1,2,0,2,2
8.8,0.0,22,5,60.0,8.0,0.0,6.0,3,0,0,0,1,0,0,2,0,2,2
7.6,16.0,26,5,120.0,1.0,0.0,7.0,2,0,0,0,1,0,0,2,0,2,2
7.9,10.0,24,4,110.0,1.5,8.0,5.0,4,0,1,0,2,1,0,2,0,2,2
7.9,5.0,23,4,60.0,3.0,0.0,5.0,2,0,0,0,1,0,0,2,0,2,2
7.1,8.0,24,5,90.0,2.3,0.0,5.0,5,0,1,1,1,1,0,2,1,2,2
8.9,0.0,22,5,120.0,3.0,0.0,6.0,3,0,1,0,1,1,0,2,0,2,2
7.0,4.0,22,5,90.0,4.0,0.0,3.0,1,0,1,0,1,0,0,2,0,0,2
9.2,0.0,23,5,30.0,7.0,0.0,5.0,2,0,0,0,1,0,1,2,0,2,2
8.6,1.0,22,5,30.0,0.0,0.0,5.0,2,0,1,0,1,1,1,2,0,2,1
7.8,8.0,33,5,50.0,2.0,5.0,6.0,4,0,1,0,1,1,0,2,1,2,1
8.6,0.0,24,5,20.0,5.0,4.0,6.0,2,0,0,0,1,1,1,2,0,0,2
7.7,5.0,23,5,25.0,2.0,0.0,8.0,2,0,1,1,1,0,0,2,0,2,2
6.3,1.0,20,5,40.0,5.0,0.0,6.0,3,0,0,0,1,0,0,2,0,0,2
7.6,10.0,23,5,100.0,1.0,0.0,6.0,5,0,1,0,1,0,0,2,0,0,2
7.8,3.0,22,5,120.0,1.0,0.0,6.0,4,0,1,0,1,1,0,2,0,0,2
7.0,2.0,20,5,30.0,4.0,0.0,8.0,3,0,1,0,1,0,0,2,0,2,2
7.5,6.0,23,3,140.0,2.0,0.0,4.0,2,0,0,0,1,1,0,2,0,2,2
8.0,3.0,20,3,120.0,1.0,0.0,4.0,4,0,0,0,1,0,0,2,0,2,2
7.8,3.0,21,5,90.0,5.0,0.0,5.0,2,0,0,0,1,1,0,2,0,2,2
7.8,6.0,22,5,120.0,2.0,0.0,6.0,4,0,0,1,1,1,0,2,0,2,2
8.2,2.0,23,5,110.0,3.0,0.0,6.0,3,0,0,0,1,1,0,2,0,2,2
7.5,8.0,23,4,90.0,6.0,11.0,6.0,3,0,1,0,1,1,0,2,0,2,2
8.0,0.0,21,5,90.0,5.0,0.0,4.0,3,0,0,0,1,0,0,2,0,2,2
7.4,4.0,22,4,75.0,1.0,0.0,6.0,3,0,1,0,1,1,0,2,0,2,2
8.1,6.0,23,5,90.0,2.0,0.0,5.0,1,0,0,0,2,0,0,2,0,2,2
8.2,2.0,23,5,110.0,3.0,0.0,6.0,3,0,0,0,1,1,0,2,0,2,2
7.0,3.0,23,2,90.0,4.0,300.0,4.0,2,0,0,0,1,1,0,2,0,2,2
8.3,1.0,22,5,75.0,3.0,0.0,6.0,4,0,1,0,1,1,0,2,0,2,2
7.0,3.0,21,3,90.0,240.0,0.0,7.0,3,0,0,0,1,1,0,2,0,2,2
8.0,0.0,20,5,90.0,2.0,0.0,7.0,3,8,1,0,1,0,0,2,0,0,2
8.0,3.0,21,4,120.0,1.0,0.0,4.0,2,0,0,0,1,0,0,2,0,2,2
6.5,5.0,21,5,120.0,1.0,6.0,7.0,5,0,1,0,1,0,1,2,0,0,1
8.2,0.0,20,4,99.0,2.5,0.0,7.0,2,8,1,0,1,1,1,2,0,0,2
8.9,0.0,18,5,50.0,4.0,0.0,7.0,3,8,0,0,1,0,1,2,0,2,2
8.0,3.0,20,5,120.0,2.0,0.0,4.0,1,0,0,0,1,1,0,2,0,2,2
7.3,8.0,20,5,80.0,1.0,3.0,4.0,2,0,0,0,1,1,0,2,0,2,2
8.9,2.0,19,3,120.0,1.0,4.0,5.0,3,8,0,1,1,1,0,2,0,1,2
8.1,2.0,22,4,90.0,4.0,3.0,4.0,2,0,1,1,2,1,0,2,1,2,2
8.0,2.0,19,5,150.0,3.0,0.0,4.0,2,8,0,0,1,1,0,2,0,2,2
8.3,2.0,20,4,40.0,0.0,0.0,5.0,5,8,0,0,1,0,1,2,0,2,2
8.4,1.0,19,5,30.0,3.0,0.0,7.0,4,8,1,0,1,1,0,2,0,2,2
7.0,0.0,21,5,150.0,2.0,6.0,2.0,4,0,1,0,1,1,0,2,0,1,1
9.7,0.0,19,3,10.0,3.0,0.0,7.0,4,8,1,0,1,1,1,2,0,2,2
7.9,3.0,19,3,180.0,1.0,2.0,5.0,3,8,0,1,1,1,1,2,0,2,1
7.5,5.0,22,5,70.0,4.0,0.0,5.0,4,0,0,0,1,0,0,2,0,2,1
8.8,0.0,24,5,120.0,5.0,0.0,4.0,4,0,0,0,1,1,1,2,0,2,2
9.0,1.0,20,5,30.0,4.0,0.0,5.0,1,1,0,1,1,1,0,2,0,2,2
8.3,1.0,23,5,120.0,3.0,0.0,6.0,2,0,0,0,1,1,0,2,0,2,2
8.0,5.0,23,1,120.0,4.0,0.0,3.0,1,0,0,0,1,1,0,2,0,1,1
8.1,3.0,20,3,30.0,3.0,5.0,5.0,3,8,0,0,1,1,1,2,0,0,2
7.8,2.0,21,3,120.0,4.0,0.0,4.0,2,0,1,0,1,0,0,2,0,2,2
